id,logo_path,name,origin_country,movie_id
9195,/geK5QOBsXIPGHutKwXtYjMUyYSG.png,Touchstone Pictures,US,158
2,/wdrCwmRnLFJhEoH8GSfymY85KHT.png,Walt Disney Pictures,US,1392796
73757,/sPIpX0MDdvYjcI8E4AeNGIYVNWj.png,Bardel Entertainment,CA,1392796
141821,/dvIQq8TmQJydp9BzBCVyNZBlOnA.png,20th Century Animation,US,1392796
127928,/h0rjX5vjW5r8yEnUBStFarjcLT4.png,20th Century Studios,US,1376434
1302,/zC3b70ixHh89qJIikLQPEvLqbPM.png,Davis Entertainment,US,1376434
840,,Lawrence Gordon Productions,US,1376434
185309,,Toberoff Productions,US,1376434
4,/jay6WcMgagAklUt7i9Euwj1pzTF.png,Paramount Pictures,US,164
11355,,Jurow-Shepherd,,164
25,/qZCc1lty5FzX30aOCVRBLzaVmcp.png,20th Century Fox,US,162
8601,/kqubCH3sfBAk4znUj7hjqv8ffgi.png,Tim Burton Productions,US,162
33,/8lvHyhjr8oUKOOy2dKXoALWKdp0.png,Universal Pictures,US,165
56,/cEaxANEisCqeEoRvODv2dO1I0iI.png,Amblin Entertainment,US,165
25,/qZCc1lty5FzX30aOCVRBLzaVmcp.png,20th Century Fox,US,8358
7,/vru2SssLX3FPhnKZGtYw00pVIS9.png,DreamWorks Pictures,US,8358
11395,/5vSBzUwnCcaF90ZTchG3LwRKQ2M.png,ImageMovers,US,8358
4171,/cdwjRVcXP9zws9gkiim0KkBNs9N.png,Playtone,US,8358
39646,,J.G. Arnold & Associates,,49332
2521,/e9lXexogBN1nOXA8axzASggea8B.png,Orange Sky Golden Harvest,HK,49332
16378,,Filmtrust Productions,,49332
16379,,Northshore Investments,US,49332
280780,/bDdeZdCvlm67f3t2tbs7sNFtJxm.png,DEFA,DE,286902
174,/ingPVoHnINIrFR7WHmYux1f5pES.png,Warner Bros. Pictures,US,185
88,,Hawk Films,GB,185
385,,Stanley Kubrick Productions,GB,185
234371,,Polaris Productions Limited,GB,185
25020,,Victoires Productions,,194
12000,,Tapioca Films,,194
591,/q5I5RDwMEiqoNmfaJgd2LraEOJY.png,France 3 Cinéma,FR,194
4411,,MMC Independent,,194
581,/pzJLNyKypqwAgLR4OjmaxA5WEjm.png,UGC,FR,194
